textbox5,textbox3,textbox4,textbox11,textbox14,textbox7,textbox24,textbox8,DateValue,CustomerCount_1,Quantity,TotalSales_1,TotalSales,textbox6,textbox26,textbox10,textbox13,textbox18,textbox19,textbox20,textbox9,textbox22,textbox33
Time,Customer Count,Item Count,Total Sales (excl. tax),% Total Sales,Cumulative Total Sales (excl. tax),Avg. £ per Customer,Average Sell Price per Item,05:00 - 06:00,0,0,0.00,0.0%,0.00,0.00,0.00,Total,374,"3,022","3,833.41","3,833.41",10.25,1.27
Time,Customer Count,Item Count,Total Sales (excl. tax),% Total Sales,Cumulative Total Sales (excl. tax),Avg. £ per Customer,Average Sell Price per Item,06:00 - 07:00,0,0,0.00,0.0%,0.00,0.00,0.00,Total,374,"3,022","3,833.41","3,833.41",10.25,1.27
Time,Customer Count,Item Count,Total Sales (excl. tax),% Total Sales,Cumulative Total Sales (excl. tax),Avg. £ per Customer,Average Sell Price per Item,07:00 - 08:00,0,0,0.00,0.0%,0.00,0.00,0.00,Total,374,"3,022","3,833.41","3,833.41",10.25,1.27
Time,Customer Count,Item Count,Total Sales (excl. tax),% Total Sales,Cumulative Total Sales (excl. tax),Avg. £ per Customer,Average Sell Price per Item,08:00 - 09:00,0,0,0.00,0.0%,0.00,0.00,0.00,Total,374,"3,022","3,833.41","3,833.41",10.25,1.27
Time,Customer Count,Item Count,Total Sales (excl. tax),% Total Sales,Cumulative Total Sales (excl. tax),Avg. £ per Customer,Average Sell Price per Item,09:00 - 10:00,0,0,0.00,0.0%,0.00,0.00,0.00,Total,374,"3,022","3,833.41","3,833.41",10.25,1.27
Time,Customer Count,Item Count,Total Sales (excl. tax),% Total Sales,Cumulative Total Sales (excl. tax),Avg. £ per Customer,Average Sell Price per Item,10:00 - 11:00,0,0,0.00,0.0%,0.00,0.00,0.00,Total,374,"3,022","3,833.41","3,833.41",10.25,1.27
Time,Customer Count,Item Count,Total Sales (excl. tax),% Total Sales,Cumulative Total Sales (excl. tax),Avg. £ per Customer,Average Sell Price per Item,11:00 - 12:00,1,18,10.81,0.3%,10.81,10.81,0.60,Total,374,"3,022","3,833.41","3,833.41",10.25,1.27
Time,Customer Count,Item Count,Total Sales (excl. tax),% Total Sales,Cumulative Total Sales (excl. tax),Avg. £ per Customer,Average Sell Price per Item,12:00 - 13:00,42,360,437.24,11.4%,448.05,10.41,1.21,Total,374,"3,022","3,833.41","3,833.41",10.25,1.27
Time,Customer Count,Item Count,Total Sales (excl. tax),% Total Sales,Cumulative Total Sales (excl. tax),Avg. £ per Customer,Average Sell Price per Item,13:00 - 14:00,42,332,363.34,9.5%,811.39,8.65,1.09,Total,374,"3,022","3,833.41","3,833.41",10.25,1.27
Time,Customer Count,Item Count,Total Sales (excl. tax),% Total Sales,Cumulative Total Sales (excl. tax),Avg. £ per Customer,Average Sell Price per Item,14:00 - 15:00,38,308,396.87,10.4%,"1,208.26",10.44,1.29,Total,374,"3,022","3,833.41","3,833.41",10.25,1.27
Time,Customer Count,Item Count,Total Sales (excl. tax),% Total Sales,Cumulative Total Sales (excl. tax),Avg. £ per Customer,Average Sell Price per Item,15:00 - 16:00,50,382,458.19,12.0%,"1,666.45",9.16,1.20,Total,374,"3,022","3,833.41","3,833.41",10.25,1.27
Time,Customer Count,Item Count,Total Sales (excl. tax),% Total Sales,Cumulative Total Sales (excl. tax),Avg. £ per Customer,Average Sell Price per Item,16:00 - 17:00,38,250,256.36,6.7%,"1,922.81",6.75,1.03,Total,374,"3,022","3,833.41","3,833.41",10.25,1.27
Time,Customer Count,Item Count,Total Sales (excl. tax),% Total Sales,Cumulative Total Sales (excl. tax),Avg. £ per Customer,Average Sell Price per Item,17:00 - 18:00,35,297,421.89,11.0%,"2,344.70",12.05,1.42,Total,374,"3,022","3,833.41","3,833.41",10.25,1.27
Time,Customer Count,Item Count,Total Sales (excl. tax),% Total Sales,Cumulative Total Sales (excl. tax),Avg. £ per Customer,Average Sell Price per Item,18:00 - 19:00,31,244,334.75,8.7%,"2,679.45",10.80,1.37,Total,374,"3,022","3,833.41","3,833.41",10.25,1.27
Time,Customer Count,Item Count,Total Sales (excl. tax),% Total Sales,Cumulative Total Sales (excl. tax),Avg. £ per Customer,Average Sell Price per Item,19:00 - 20:00,41,342,448.16,11.7%,"3,127.61",10.93,1.31,Total,374,"3,022","3,833.41","3,833.41",10.25,1.27
Time,Customer Count,Item Count,Total Sales (excl. tax),% Total Sales,Cumulative Total Sales (excl. tax),Avg. £ per Customer,Average Sell Price per Item,20:00 - 21:00,36,348,503.14,13.1%,"3,630.75",13.98,1.45,Total,374,"3,022","3,833.41","3,833.41",10.25,1.27
Time,Customer Count,Item Count,Total Sales (excl. tax),% Total Sales,Cumulative Total Sales (excl. tax),Avg. £ per Customer,Average Sell Price per Item,21:00 - 22:00,20,141,202.66,5.3%,"3,833.41",10.13,1.44,Total,374,"3,022","3,833.41","3,833.41",10.25,1.27
Time,Customer Count,Item Count,Total Sales (excl. tax),% Total Sales,Cumulative Total Sales (excl. tax),Avg. £ per Customer,Average Sell Price per Item,22:00 - 23:00,0,0,0.00,0.0%,"3,833.41",0.00,0.00,Total,374,"3,022","3,833.41","3,833.41",10.25,1.27
Time,Customer Count,Item Count,Total Sales (excl. tax),% Total Sales,Cumulative Total Sales (excl. tax),Avg. £ per Customer,Average Sell Price per Item,23:00 - 00:00,0,0,0.00,0.0%,"3,833.41",0.00,0.00,Total,374,"3,022","3,833.41","3,833.41",10.25,1.27
Time,Customer Count,Item Count,Total Sales (excl. tax),% Total Sales,Cumulative Total Sales (excl. tax),Avg. £ per Customer,Average Sell Price per Item,00:00 - 01:00,0,0,0.00,0.0%,"3,833.41",0.00,0.00,Total,374,"3,022","3,833.41","3,833.41",10.25,1.27
Time,Customer Count,Item Count,Total Sales (excl. tax),% Total Sales,Cumulative Total Sales (excl. tax),Avg. £ per Customer,Average Sell Price per Item,01:00 - 02:00,0,0,0.00,0.0%,"3,833.41",0.00,0.00,Total,374,"3,022","3,833.41","3,833.41",10.25,1.27
Time,Customer Count,Item Count,Total Sales (excl. tax),% Total Sales,Cumulative Total Sales (excl. tax),Avg. £ per Customer,Average Sell Price per Item,02:00 - 03:00,0,0,0.00,0.0%,"3,833.41",0.00,0.00,Total,374,"3,022","3,833.41","3,833.41",10.25,1.27
Time,Customer Count,Item Count,Total Sales (excl. tax),% Total Sales,Cumulative Total Sales (excl. tax),Avg. £ per Customer,Average Sell Price per Item,03:00 - 04:00,0,0,0.00,0.0%,"3,833.41",0.00,0.00,Total,374,"3,022","3,833.41","3,833.41",10.25,1.27
Time,Customer Count,Item Count,Total Sales (excl. tax),% Total Sales,Cumulative Total Sales (excl. tax),Avg. £ per Customer,Average Sell Price per Item,04:00 - 05:00,0,0,0.00,0.0%,"3,833.41",0.00,0.00,Total,374,"3,022","3,833.41","3,833.41",10.25,1.27

